City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Lokosovo,RU,61.1333,74.8167,13.3,90,92,10.42,overcast clouds
233,Nabire,ID,-3.3667,135.4833,75.6,91,100,0.92,overcast clouds
234,Mount Barker,AU,-35.0667,138.8667,68.86,68,90,8.61,overcast clouds
235,Caravelas,BR,-17.7125,-39.2481,75.96,89,100,3.94,overcast clouds
236,Wainwright,CA,52.839,-110.8572,-2.29,92,100,6.42,overcast clouds
237,Aleksandrov Gay,RU,50.147,48.5704,24.73,93,100,7.05,overcast clouds
238,Morros,BR,-9.4467,-46.3003,71.78,91,96,4.16,overcast clouds
239,Hilo,US,19.7297,-155.09,78.53,80,75,9.22,broken clouds
240,Provideniya,RU,64.3833,-173.3,5.36,72,100,20.13,light snow
241,Port Hedland,AU,-20.3167,118.5667,96.85,52,5,6.91,clear sky
242,Galle,LK,6.0367,80.217,78.04,81,2,2.28,clear sky
243,Verkhoyansk,RU,67.5447,133.385,-30.62,94,66,0.96,broken clouds
244,Kaitangata,NZ,-46.2817,169.8464,68.41,61,6,10.33,clear sky
245,Lagoa,PT,39.05,-27.9833,55.74,57,14,7.07,few clouds
246,Garowe,SO,8.4054,48.4845,65.59,84,54,6.71,broken clouds
247,Manggar,ID,-2.8833,108.2667,81.54,75,100,7.99,overcast clouds
248,Dickinson,US,29.4608,-95.0513,62.98,90,100,9.22,overcast clouds
249,Hay River,CA,60.8156,-115.7999,-13.02,77,40,5.75,scattered clouds
250,Chapais,CA,49.7834,-74.8492,10.18,95,100,7.29,light snow
251,Boden,SE,65.8252,21.6886,8.6,100,98,3.31,overcast clouds
252,Lagos,NG,6.5833,3.75,80.92,90,41,3.31,scattered clouds
253,Middlesex,US,42.4998,-71.3328,30.34,59,0,16.11,clear sky
254,Kysyl-Syr,RU,63.8986,122.7617,6.57,95,100,7.52,light snow
255,Pouebo,NC,-20.4,164.5667,85.69,61,21,7.85,few clouds
256,Hammerfest,NO,70.6634,23.6821,16.25,73,0,2.3,clear sky
257,Edd,ER,13.9297,41.6925,75.61,76,66,11.74,broken clouds
258,Alofi,NU,-19.0595,-169.9187,73.29,94,100,13.8,overcast clouds
259,Pangody,RU,65.85,74.4859,13.95,93,100,15.52,overcast clouds
260,Lebu,CL,-37.6167,-73.65,56.52,87,3,12.41,clear sky
261,Esik,KZ,43.3552,77.4525,15.22,57,1,9.24,clear sky
262,Thompson,CA,55.7435,-97.8558,-23.64,62,0,4.61,clear sky
263,Fortuna,US,40.5982,-124.1573,47.66,77,100,18.41,overcast clouds
264,Mar Del Plata,AR,-38.0023,-57.5575,69.1,83,0,8.05,clear sky
265,Puerto Colombia,CO,10.9878,-74.9547,78.89,75,4,32.61,clear sky
266,Boddam,GB,57.4667,-1.7833,39.11,73,52,15.08,broken clouds
267,Mugan,CN,35.9404,101.3842,19.89,51,100,3.02,overcast clouds
268,Great Yarmouth,GB,52.6083,1.7305,40.44,72,88,30.78,overcast clouds
269,Grao Mogol,BR,-16.5594,-42.8897,65.34,94,98,1.61,overcast clouds
270,Hami,CN,42.8,93.45,27.37,31,16,5.84,few clouds
271,Asfi,MA,32.2994,-9.2372,56.53,80,0,8.99,clear sky
272,Alta Floresta,BR,-9.8756,-56.0861,69.73,98,83,1.79,broken clouds
273,Tromso,NO,69.6496,18.957,12.22,79,0,2.3,clear sky
274,Klaksvik,FO,62.2266,-6.589,38.32,69,100,35.54,overcast clouds
275,Ous,RU,60.9058,61.5186,27.3,95,100,7.02,overcast clouds
276,Yibin,CN,28.7667,104.6238,42.75,88,100,4.43,overcast clouds
277,Dingle,PH,10.9995,122.6711,81.59,71,100,14.32,overcast clouds
278,Matay,EG,28.419,30.7792,55.47,52,100,4.81,overcast clouds
279,Constitucion,CL,-35.3333,-72.4167,55.04,93,3,6.93,clear sky
280,Kavieng,PG,-2.5744,150.7967,84.22,75,100,8.5,moderate rain
281,Termiz,UZ,37.2242,67.2783,46.49,57,0,11.5,clear sky
282,Touros,BR,-5.1989,-35.4608,79.7,73,0,11.68,clear sky
283,Mobile,US,30.7835,-88.2,58.39,69,40,8.05,scattered clouds
284,Shakhtinsk,KZ,49.71,72.5872,9.16,87,8,6.08,clear sky
285,Sitka,US,57.0531,-135.33,42.69,56,40,0.0,scattered clouds
286,Ixtapa,MX,20.7,-105.2,74.43,78,20,3.44,few clouds
287,Jhalrapatan,IN,24.55,76.1667,61.03,37,0,3.87,clear sky
288,San Rafael,AR,-34.6177,-68.3301,71.28,34,4,8.7,clear sky
289,Port Hueneme,US,34.1478,-119.1951,61.05,82,100,4.61,mist
290,Qaqortoq,GL,60.7167,-46.0333,1.9,81,100,5.75,overcast clouds
291,Zhigansk,RU,66.7697,123.3711,-10.32,97,100,19.57,light snow
292,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,26.46,light rain
293,Trinidad,BO,-14.8333,-64.9,73.49,98,82,3.89,broken clouds
294,Palmas,BR,-10.2128,-48.3603,76.87,94,75,2.3,moderate rain
295,Hithadhoo,MV,-0.6,73.0833,81.1,69,16,5.28,few clouds
296,Sampit,ID,-2.5333,112.95,76.73,88,100,2.82,moderate rain
297,Diffa,NE,13.3154,12.6113,63.61,37,0,9.69,clear sky
298,Haines Junction,CA,60.7522,-137.5108,13.95,52,100,1.14,overcast clouds
299,Kuldur,RU,49.2167,131.6333,6.35,84,61,5.79,broken clouds
300,Prince Rupert,CA,54.3161,-130.3201,40.69,81,0,16.11,clear sky
301,Raga,SS,8.4596,25.678,66.69,21,41,4.61,scattered clouds
302,Farah,AF,32.5,62.5,53.98,63,95,8.93,overcast clouds
303,Pisco,PE,-13.7,-76.2167,69.85,83,0,9.22,clear sky
304,Owando,CG,-0.4819,15.8999,69.82,84,59,2.53,light rain
305,Guerrero Negro,MX,27.9769,-114.0611,60.48,63,3,13.82,clear sky
